Unique ID,Plant Name,Plant Type,Winter Availability,Winter_Shoulder Availability,Summer Availability,Annual Availability
10003_B_BLR1,Colorado Energy Nations Company,O/G Steam,0.80,0.80,0.86,0.82
10003_B_BLR2,Colorado Energy Nations Company,O/G Steam,0.80,0.80,0.86,0.82
10003_B_BLR4,Colorado Energy Nations Company,O/G Steam,0.80,0.80,0.86,0.82
10003_B_BLR5,Colorado Energy Nations Company,O/G Steam,0.80,0.80,0.86,0.82
10013_B_1,Covanta Hennepin Energy,Municipal Solid Waste,0.90,0.90,0.90,0.90
10013_B_2,Covanta Hennepin Energy,Municipal Solid Waste,0.90,0.90,0.90,0.90
10025_B_41,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_42,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_43,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_44,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_45,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_46,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_47,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_48,"RED-Rochester, LLC",O/G Steam,0.80,0.80,0.86,0.82
10025_B_PB1,"RED-Rochester, LLC",O/G Steam,0.82,0.82,0.86,0.84
10025_B_PB2,"RED-Rochester, LLC",O/G Steam,0.82,0.82,0.86,0.84
10025_B_PB3,"RED-Rochester, LLC",O/G Steam,0.82,0.82,0.86,0.84
10025_B_PB4,"RED-Rochester, LLC",O/G Steam,0.82,0.82,0.86,0.84
10052_B_BLR1,Fairhaven Power,Biomass,0.83,0.83,0.83,0.83
10062_B_BLR1,Miami Dade County Resource Recovery Fac,Municipal Solid Waste,0.90,0.90,0.90,0.90
10062_B_BLR2,Miami Dade County Resource Recovery Fac,Municipal Solid Waste,0.90,0.90,0.90,0.90
10062_B_BLR3,Miami Dade County Resource Recovery Fac,Municipal Solid Waste,0.90,0.90,0.90,0.90
10062_B_BLR4,Miami Dade County Resource Recovery Fac,Municipal Solid Waste,0.90,0.90,0.90,0.90
10072_B_WHBOIL,Engineered Carbons Borger Cogen,Fossil Waste,0.90,0.90,0.90,0.90
10113_B_CFB1,John B Rich Memorial Power Station,Coal Steam,0.91,0.82,0.82,0.84
10113_B_CFB2,John B Rich Memorial Power Station,Coal Steam,0.91,0.82,0.82,0.84
10118_B_1,Harrisburg Facility,Municipal Solid Waste,0.90,0.90,0.90,0.90
10118_B_2,Harrisburg Facility,Municipal Solid Waste,0.90,0.90,0.90,0.90
10118_B_3,Harrisburg Facility,Municipal Solid Waste,0.90,0.90,0.90,0.90
1012_B_3,F B Culley,Coal Steam,0.74,0.74,0.82,0.77
10143_B_ABB01,Colver Power Project,Coal Steam,0.79,0.79,0.86,0.82
10144_B_BLR3,Sierra Pacific Lincoln Facility,Biomass,0.83,0.83,0.83,0.83
10151_B_BLR1A,Grant Town Power Plant,Coal Steam,0.91,0.82,0.82,0.84
10151_B_BLR1B,Grant Town Power Plant,Coal Steam,0.91,0.82,0.82,0.84
10204_B_7-1,Mosaic Co Tampa Facility,Non-Fossil Waste,0.90,0.90,0.90,0.90
10204_B_7-2,Mosaic Co Tampa Facility,Non-Fossil Waste,0.90,0.90,0.90,0.90
10204_B_9-1,Mosaic Co Tampa Facility,Non-Fossil Waste,0.90,0.90,0.90,0.90
10204_B_9-2,Mosaic Co Tampa Facility,Non-Fossil Waste,0.90,0.90,0.90,0.90
10216_B_PB1,Alabama River Pulp,Non-Fossil Waste,0.90,0.90,0.90,0.90
10216_B_RB1,Alabama River Pulp,Non-Fossil Waste,0.90,0.90,0.90,0.90
10233_B_PB,Leaf River Cellulose LLC,Non-Fossil Waste,0.90,0.90,0.90,0.90
10233_B_RB,Leaf River Cellulose LLC,Non-Fossil Waste,0.90,0.90,0.90,0.90
1024_B_5,Crawfordsville Power Plant,Coal Steam,0.82,0.82,0.87,0.84
1024_B_6,Crawfordsville Power Plant,Coal Steam,0.82,0.82,0.87,0.84
10290_B_EU1,Bridgewater Power LP,Biomass,0.83,0.83,0.83,0.83
10300_B_BLR1,Desert View Power,Biomass,0.83,0.83,0.83,0.83
10300_B_BLR2,Desert View Power,Biomass,0.83,0.83,0.83,0.83
10328_B_BLR1,T B Simon Power Plant,O/G Steam,0.80,0.80,0.86,0.82
10328_B_BLR2,T B Simon Power Plant,O/G Steam,0.80,0.80,0.86,0.82
